x,P0,dP0_dx,P1,dP1_dx,P2,dP2_dx,P3,dP3_dx,P4,dP4_dx,P5,dP5_dx
0.52,1,0,0.52,1,-0.0944,1.56,-0.42848,0.528,-0.319117,-1.43936,0.0440907,-2.34405
0.53,1,0,0.53,1,-0.07865,1.59,-0.422807,0.60675,-0.333166,-1.36965,0.0204052,-2.39175
0.54,1,0,0.54,1,-0.0626,1.62,-0.41634,0.687,-0.346491,-1.29438,-0.00371754,-2.43142
0.55,1,0,0.55,1,-0.04625,1.65,-0.409062,0.76875,-0.359035,-1.21344,-0.0281948,-2.46257
0.56,1,0,0.56,1,-0.0296,1.68,-0.40096,0.852,-0.370741,-1.12672,-0.0529387,-2.48467
0.57,1,0,0.57,1,-0.01265,1.71,-0.392017,0.93675,-0.38155,-1.03412,-0.0778563,-2.4972
0.58,1,0,0.58,1,0.0046,1.74,-0.38222,1.023,-0.391403,-0.93554,-0.102849,-2.49963
0.59,1,0,0.59,1,0.02215,1.77,-0.371552,1.11075,-0.40024,-0.830867,-0.127813,-2.49141
0.6,1,0,0.6,1,0.04,1.8,-0.36,1.2,-0.408,-0.72,-0.15264,-2.472
0.61,1,0,0.61,1,0.05815,1.83,-0.347547,1.29075,-0.414619,-0.602832,-0.177214,-2.44083
0.62,1,0,0.62,1,0.0766,1.86,-0.33418,1.383,-0.420035,-0.47926,-0.201415,-2.39732
0.63,1,0,0.63,1,0.09535,1.89,-0.319882,1.47675,-0.424183,-0.349177,-0.225117,-2.3409
0.64,1,0,0.64,1,0.1144,1.92,-0.30464,1.572,-0.426997,-0.21248,-0.248188,-2.27097
0.65,1,0,0.65,1,0.13375,1.95,-0.288437,1.66875,-0.42841,-0.0690625,-0.27049,-2.18694
0.66,1,0,0.66,1,0.1534,1.98,-0.27126,1.767,-0.428355,0.08118,-0.291878,-2.0882
0.67,1,0,0.67,1,0.17335,2.01,-0.253092,1.86675,-0.426763,0.238353,-0.312203,-1.97412
0.68,1,0,0.68,1,0.1936,2.04,-0.23392,1.968,-0.423565,0.40256,-0.331307,-1.84408
0.69,1,0,0.69,1,0.21415,2.07,-0.213727,2.07075,-0.418688,0.573908,-0.349029,-1.69745
0.7,1,0,0.7,1,0.235,2.1,-0.1925,2.175,-0.412062,0.7525,-0.365199,-1.53356
0.71,1,0,0.71,1,0.25615,2.13,-0.170222,2.28075,-0.403614,0.938443,-0.379641,-1.35178
0.72,1,0,0.72,1,0.2776,2.16,-0.14688,2.388,-0.393269,1.13184,-0.392172,-1.15142
0.73,1,0,0.73,1,0.29935,2.19,-0.122457,2.49675,-0.380952,1.3328,-0.402605,-0.931818
0.74,1,0,0.74,1,0.3214,2.22,-0.09694,2.607,-0.366587,1.54142,-0.410742,-0.692286
0.75,1,0,0.75,1,0.34375,2.25,-0.0703125,2.71875,-0.350098,1.75781,-0.416382,-0.432129
0.76,1,0,0.76,1,0.3664,2.28,-0.04256,2.832,-0.331405,1.98208,-0.419314,-0.150643
0.77,1,0,0.77,1,0.38935,2.31,-0.0136675,2.94675,-0.310429,2.21433,-0.419321,0.152885
0.78,1,0,0.78,1,0.4126,2.34,0.01638,3.063,-0.287091,2.45466,-0.41618,0.479178
0.79,1,0,0.79,1,0.43615,2.37,0.0475975,3.18075,-0.261309,2.70318,-0.409659,0.828969
0.8,1,0,0.8,1,0.46,2.4,0.08,3.3,-0.233,2.96,-0.39952,1.203
0.81,1,0,0.81,1,0.48415,2.43,0.113603,3.42075,-0.202081,3.22522,-0.385516,1.60202
